event_name,datetime,description,host_org,event_perks,categories,location,event_weekend
'These Are Your First Steps': A Brief Introduction to Python,2024-09-18 10:00:00,"Are you interested in learning how to code? Are you trying to find a free to use program to analyze your data? Are you a fan of low learning curves with high returns? Whether for a class, a personal project, your research, or just for personal interest, Python might be for you! In this Open Lab, ASU Library's Abi Mercado Rivera will introduce you to the fundamentals of Python, an open source programming language that has gained significant traction among students and researchers from all majors! Our workshop is directed at anyone interested in learning Python and will be taught at a beginner’s level. You will learn basic notation in Python (a.k.a. how you tell the computer what to do), how functions work (code that runs only when you want), and how to introduce packages to supercharge your work. We will also be writing and running short programs together to get you started in the world of Python. No previous coding experience is required! Register: https://asu.libcal.com/event/12733490", Library,,,Online,0
11th Annual Healthcare Panel Banquet,2024-11-14 18:00:00,"The Black Medical Students Association presents the 11th Annual Healthcare Panel Banquet which invites healthcare professionals from Doctors to Hospitals administration. The goal of BMSA is to increase the retention, matriculation, and graduation rates of black and minority pre health students at ASU. A way we try to push this agenda is to invite a panel of black healthcare professionals to ASU to talk about their journeys and provide some advice. This networking opportunity can land students shadowing, letters of recommendations, clinical experiences, and so much more to aid them on their pre health journey.",Black Medical Student Association, Food   Stuff,"Club Meetings, In-Person Event",Memorial Union MU-202,0
11th Annual Poly Game Night,2024-08-23 18:00:00,"Join ASU Library for the 11th Annual Poly Game Night on Friday, August 23, from 6 p.m. to 9 p.m. at the Polytechnic campus Library (Academic Center, Lower Level). Hosted by the Polytechnic campus Library and the Polytechnic Programs and Activities Board, this exciting evening offers a perfect opportunity to connect with friends and meet new Sun Devils. Enjoy a variety of board games, light refreshments and a chance to win prizes. While games will be provided, feel free to bring your favorites.  Bonus! Bring your own empty reusable water bottle for a chance to win a special prize.  Start your fall semester with the library and don’t miss out on this fun filled event!",Host Organizations  Library   Polytechnic, Food   Stuff,"General, PAB Event, Welcome Event","Polytechnic campus Library5988 S. Backus Mall,  Mesa, ",0
2024 Annual SunMUN High School Conference,2024-11-15 08:00:00,"Delegates from across Arizona and the Southwest gather to simulate United Nations proceedings, learn about global politics, and sharpen their debate skills in a two day Model United Nations conference hosted at the Arizona State University Tempe Campus.",Model United Nations at Arizona State University,,"Club Meetings, International, In-Person Event"," State University Tempe Campus1151 S Forest Avenue, Tempe, ",0
7V7 and Powderpuff Football Tournament,2024-08-29 17:00:00,"A football tournament where men and women will form teams to compete to build teams for premier event, Survivor Weekend.",HOPE CHURCH MOVEMENT AT ,,,SDFC West Field,0
A.T. Still University Campus Visit- Pre health programs,2024-10-18 12:00:00,"Calling all Pre health students interested in health related graduate schools. Join the College of Integrative Sciences and Arts for a visit to A.T. Still University, a private medical school located in Arizona's east valley. Learn about their admission requirements, hear from current students, and receive a tour of their facilities. Begin the steps towards a career in health care. A.T. Still University's Mesa campus offers programs in: Doctor of Dental Medicine, Doctor of Osteopathic Medicine, Masters Occupational Therapy, Masters in Physician Assistant, Doctor of Physical Therapy. Learn more about A.T. Still University at https://www.atsu.edu/  Transportation is not provided, students are responsible for their arrival to A.T. Still University. Registration required by RSVPing for this event. Parking and additional details will be sent to registrants prior to the event.",Host Organizations College of Integrative Sciences and Arts   Tempe    Downtown    Polytechnic   Online,,Career and Professional Development,"AT Still University5850 E. Still Circle, Mesa, ",0
ACF weekly event,2024-08-03 12:00:00,"  ACF gathers weekly from 12 2pm at Christian Challenge (Church on Mill) for worship, food and bible study. This is a space for students to come together and make meaningful connections.",Anglican Campus Fellowship, Food,"Club Meetings, International, In-Person Event","Christian Challenge1322 S Mill Ave, Tempe, ",1
AEPhi Chapter Meeting,2024-08-26 19:00:00,Weekly meeting for members,Alpha Epsilon Phi Sorority,,,LSA 101,0
AME Graduate Student Welcome,2024-08-19 16:00:00,Come and meet some of our staff and faculty of AME! Socialize with fellow students and tour the building before classes start!,Unknown,,"Welcome Event, Graduate, In-Person Event","Stauffer B125950 S. Forest Mall Tempe,  85281, Tempe, ",0
AME Undergraduate Student Welcome,2024-08-20 14:30:00,Come and meet some of our staff and faculty of AME! Socialize with fellow students and tour the building before classes start!,"School of Arts, Media and Engineering",,"Welcome Event, In-Person Event","Stauffer B125950 S. Forest Mall Tempe,  85281, Tempe, ",0
