Event Name,Description,Theme
Valentine's Paint Night!,descriptioncome take break homework paint also write kind note friend taylor place delivered valentines day ca rocio,Art & Music
Valentine's Day Decorating,descriptionstudents decorate hall door dorm valentines decorations also enjoy candy,Art & Music
Valentine Decorating with CA Taylor,descriptionjoin ca taylor decorate valentines like ones elementary school make hallmates,Art & Music
BWL's Annual Galentine Event!,descriptionhi barrett womens league bwl annual galentine event february th pm sage south room bwl providing tote bags decorate paints glitters valentine cards write friends families loved ones candy bags individually prepackaged chocolatecovered strawberries event take home interested attending please rsvp link would like attend,Art & Music
Writer's Guild General Meeting,descriptioncome join us workshop writing socialize writers asu,Art & Music
Happy Valentine's Day!,descriptioncome make cute cards place personalized baggies fellow residents bags stickers provided,Art & Music
Polymetric Music Club Weekly Meeting,descriptionits time play music join us week various themed music meetings movie video game music instrument training sessions everyone welcome regardless skill level follow us instagram info upcoming events,Art & Music
Love Is In The Air Valentines Day Event,descriptionafa excited kicking spring semester love air event new deadline submit shorts midnight feb th cannot wait see stories love come life screen enter film competition small fee fee waived premium members event take place feb th pm taking place mu film submission form linktree well please dm us questions,Art & Music
City of Poets Weekly Meeting,descriptioncome join us weekly meeting discuss club activities share creations hang welcome everyone try make inclusive welcoming environment possible whether first fiftieth time come early late ontime would love come please come city poets,Art & Music
Fauxchella,descriptionfauxchella rha event happens every year asu students come show art musical talents socializing taking study break,Art & Music
General Film Buffs Meeting,descriptionwe aim nurturing friendly atmosphere community open people kinds purpose watching discussing films similar book club members gather talk chosen film week,Art & Music
Go to the Phoenix Art Museum,descriptionfloors taylor place invited come cas meg mattie phoenix art museum downtown phoenix limited tickets payed opportunity accessible students meet floor lounge join group,Art & Music
Beading a Good Connection,descriptionresidents create friendshiprelationship bracelets engaging guided discussion healthy relationships,Art & Music
MGE General Weekly Meeting,descriptionevery week members maroon gold entertainment mge meet hayden library discuss filmtv short film productions socialize please follow instagram updates,Art & Music
Entertainment Business Association Weekly General Member Meeting,descriptionthe entertainment business association eba student organization asu dedicated building diverse community young professionals passionate business side entertainment industry members develop business skills explore careers industry eba provides valuable inclusive experiences professional workshops industry experiences guest speakers build successful community within asu industry eba hosts regular weekly meetings wednesday pm bring speakers various parts entertainment industry share career path knowledge industry offer advice members eager join entertainment industry speakers arrive either inperson zoom additionally eba hosts workshops socials events prepare members entertainment industry allow network fellow members engage eba overall,Art & Music
