event_name,datetime,description,host_org,event_perks,categories,location,event_weekend
'These Are Your First Steps': A Brief Introduction to Python,2024-09-18 10:00:00,interested learning code trying find free use program analyze data fan low learning curves high returns whether class personal project research personal interest python might open lab asu librarys abi mercado rivera introduce fundamentals python open source programming language gained significant traction among students researchers majors workshop directed anyone interested learning python taught beginners level learn basic notation python aka tell computer functions work code runs want introduce packages supercharge work also writing running short programs together get started world python previous coding experience required register,library,,,online,0
11th Annual Healthcare Panel Banquet,2024-11-14 18:00:00,black medical students association presents th annual healthcare panel banquet invites healthcare professionals doctors hospitals administration goal bmsa increase retention matriculation graduation rates black minority pre health students asu way try push agenda invite panel black healthcare professionals asu talk journeys provide advice networking opportunity land students shadowing letters recommendations clinical experiences much aid pre health journey,black medical student association,food stuff,club meetings inperson event,memorial union mu,0
11th Annual Poly Game Night,2024-08-23 18:00:00,join asu library th annual poly game night friday august pm pm polytechnic campus library academic center lower level hosted polytechnic campus library polytechnic programs activities board exciting evening offers perfect opportunity connect friends meet new sun devils enjoy variety board games light refreshments chance win prizes games provided feel free bring favorites bonus bring empty reusable water bottle chance win special prize start fall semester library miss fun filled event,host organizations library polytechnic,food stuff,general pab event welcome event,polytechnic campus library backus mall mesa,0
2024 Annual SunMUN High School Conference,2024-11-15 08:00:00,delegates across arizona southwest gather simulate united nations proceedings learn global politics sharpen debate skills two day model united nations conference hosted arizona state university tempe campus,model united nations arizona state university,,club meetings international inperson event,state university tempe campus forest avenue tempe,0
7V7 and Powderpuff Football Tournament,2024-08-29 17:00:00,football tournament men women form teams compete build teams premier event survivor weekend,hope church movement,,,sdfc west field,0
A.T. Still University Campus Visit- Pre health programs,2024-10-18 12:00:00,calling pre health students interested health related graduate schools join college integrative sciences arts visit still university private medical school located arizonas east valley learn admission requirements hear current students receive tour facilities begin steps towards career health care still universitys mesa campus offers programs doctor dental medicine doctor osteopathic medicine masters occupational therapy masters physician assistant doctor physical therapy learn still university transportation provided students responsible arrival still university registration required rsvping event parking additional details sent registrants prior event,host organizations college integrative sciences arts tempe downtown polytechnic online,,career professional development,still university e still circle mesa,0
ACF weekly event,2024-08-03 12:00:00,acf gathers weekly pm christian challenge church mill worship food bible study space students come together make meaningful connections,anglican campus fellowship,food,club meetings international inperson event,christian challenge mill ave tempe,1
AEPhi Chapter Meeting,2024-08-26 19:00:00,weekly meeting members,alpha epsilon phi sorority,,,lsa,0
AME Graduate Student Welcome,2024-08-19 16:00:00,come meet staff faculty ame socialize fellow students tour building classes start,unknown,,welcome event graduate inperson event,stauffer b forest mall tempe tempe,0
AME Undergraduate Student Welcome,2024-08-20 14:30:00,come meet staff faculty ame socialize fellow students tour building classes start,school arts media engineering,,welcome event inperson event,stauffer b forest mall tempe tempe,0
AOII Pinning Ceremony,2024-09-14 10:00:00,ceremony new members,alpha omicron pi,,,glcc ab,1
ASU Catholic Welcome Reception,2024-08-18 09:00:00,join us sunday masses meet chaplains missionaries campus ministry staff sure grab welcome bag light refreshments members various newman student clubs also tabling hall,saints catholic newman center,food stuff,welcome event,saints catholic newman center e university dr tempe,1
ASU Night at Arizona Diamondbacks,2024-08-28 18:40:00,get forks asu night coming chase field join fellow sun devils asu night august students purchase discounted bleacher tickets text student get access tickets visit dbackscomstudent,polytechnic,,general university signature event,chase field phoenix,0
ASU School of Art Undergraduate Fall Welcome 2024,2024-08-20 10:30:00,welcome school art glad please join us undergraduate fall welcome orientation include staff presentation design north building cdn opportunity meet faculty explore three buildings attending class event highly recommended incoming undergraduate students addition providing information school art departments also offer details resources services ways connect community well answer questions may soa swag pizza fun scavenger hunt provided looking forward seeing,school art,food stuff,welcome event inperson event new student experience,design north room cnd forest mall room tempe,0
ASU Tempe Welcome Week (Fall 2024),2024-08-21 18:00:00,youthmappers worldwide network students researchers interesting mapping geospatial data chapter holds regular meetings focus furthering mapping skills problem solving look us welcome week tabling event learn,youthmappers,,,memorial union e orange st tempe,0
